repository,star_range,star,latest_push,files,total_dependencies,number_of_vulnerabilities,ghsa,cve_strings,cvss,severity,sploitus_number_of_pocs
repository-settings/app,450..999,998,2025-09-19T20:54:33Z,package.json,19,0,,,,,0
LispCookbook/cl-cookbook,450..999,993,2025-09-19T00:10:05Z,package.json,0,0,,,,,0
heshengtao/super-agent-party,450..999,988,2025-09-22T23:07:10Z,package.json,17,2,"GHSA-vmqv-hx8q-j7mg,GHSA-5m5x-9j46-h678","CVE-2025-57665,CVE-2025-55305",,"MODERATE,MODERATE",0
v8/v8.dev,450..999,990,2025-09-22T23:55:38Z,package.json,36,4,"GHSA-3xq5-wjfh-ppjc,GHSA-rcm2-22f3-pqv3","CVE-2022-37620,GO-2024-2808,CVE-2024-4128,CVE-2023-22467","7.5,7.5","LOW,HIGH",0
SteamDatabase/BrowserExtension,450..999,988,2025-09-22T12:13:41Z,package.json,10,0,,,,,0
metarhia/impress,450..999,986,2025-09-22T13:12:05Z,package.json,13,0,,,,,0
wileyyugioh/zotmoov,450..999,983,2025-09-22T17:20:14Z,package.json,0,0,,,,,0
taion/graphql-type-json,450..999,986,2025-09-12T07:15:15Z,package.json,20,0,,,,,0
itorr/eva-title,450..999,983,2025-09-21T13:31:16Z,package.json,2,2,"GHSA-qw6h-vgh9-j6wx,GHSA-rv95-896h-c2vc","CVE-2024-43796,CVE-2024-29041",5.0,"MODERATE,LOW",0
traccar/traccar-web,450..999,986,2025-09-23T00:29:15Z,package.json,46,1,,CVE-2017-1000042,6.1,,0
shanmiteko/LotteryAutoScript,450..999,981,2025-09-22T06:26:37Z,package.json,7,2,"GHSA-22r3-9w55-cj54,GHSA-9h6g-pr28-7cqp",CVE-2024-24828,6.6,"MODERATE,MODERATE",0
Shopify/shopify-app-template-node,450..999,977,2025-09-17T15:04:55Z,package.json,10,1,GHSA-cm22-4g7w-348p,CVE-2024-43800,5.0,LOW,0
eslint-community/eslint-plugin-promise,450..999,977,2025-09-12T14:45:28Z,package.json,17,0,,,,,0
shakacode/sass-resources-loader,450..999,978,2025-09-10T18:06:08Z,package.json,42,6,"GHSA-qw6h-vgh9-j6wx,GHSA-qwcr-r2fm-qrc7,GHSA-rv95-896h-c2vc,GHSA-wr3j-pwj9-hqq6,GHSA-4vvj-4cpr-p986,GHSA-hc6q-2mpp-qw7j","CVE-2024-43788,CVE-2024-43796,CVE-2024-45590,CVE-2024-29041,CVE-2024-29180,CVE-2023-28154","7.5,5.0,6.4","HIGH,MODERATE,LOW,CRITICAL,MODERATE,HIGH",0
marcrobledo/RomPatcher.js,450..999,973,2025-09-22T08:11:54Z,package.json,2,0,,,,,0
KelvinTegelaar/CIPP,450..999,982,2025-09-23T01:03:22Z,package.json,85,10,"GHSA-8hc4-vh64-cxmj,GHSA-w532-jxjh-hjhj,GHSA-f82v-jwr5-mffw,GHSA-4342-x723-ch2f,GHSA-xv57-4mr9-wg8v,GHSA-8mvj-3j78-4qmw,GHSA-g5qg-72qw-gw5v,GHSA-jr5f-v2jv-69x6,GHSA-4hjh-wcwx-xvwj","CVE-2025-55173,CVE-2024-39338,CVE-2025-29927,CVE-2025-57822,CVE-2025-29907,CVE-2025-57752,CVE-2025-27152,CVE-2024-57965,CVE-2025-57810,CVE-2025-58754",0.0,"HIGH,HIGH,HIGH,HIGH,HIGH,CRITICAL,MODERATE,MODERATE,MODERATE",51
massgravel/massgrave.dev,450..999,970,2025-09-22T17:20:46Z,package.json,10,0,,,,,0
indexeddbshim/IndexedDBShim,450..999,973,2025-09-17T04:12:59Z,package.json,55,0,,,,,0
pouchdb/pouchdb-server,450..999,975,2025-09-08T05:02:02Z,package.json,80,3,"GHSA-qw6h-vgh9-j6wx,GHSA-qwcr-r2fm-qrc7,GHSA-rv95-896h-c2vc","CVE-2024-43796,CVE-2024-45590,CVE-2024-29041","7.5,5.0","HIGH,MODERATE,LOW",0
photopea/Typr.js,450..999,966,2025-09-17T09:46:29Z,package.json,0,0,,,,,0
emberjs/ember-inspector,450..999,971,2025-09-12T06:15:12Z,package.json,123,0,,,,,0
