repository,star_range,star,latest_push,files,total_dependencies,number_of_vulnerabilities,ghsa,cve_strings,cvss,severity,sploitus_number_of_pocs
digitalocean/sample-nextjs,50..65,65,2025-09-10T07:26:33Z,package.json,5,1,GHSA-4342-x723-ch2f,CVE-2025-57822,,MODERATE,0
JakeRoggenbuck/regolith,50..65,65,2025-09-13T21:55:50Z,package.json,11,2,"GHSA-qw6h-vgh9-j6wx,GHSA-rv95-896h-c2vc","CVE-2024-43796,CVE-2024-29041",5.0,"MODERATE,LOW",0
chatbotkit/node-sdk,50..65,65,2025-09-15T17:33:47Z,package.json,46,12,"GHSA-7m27-7ghc-44w9,GHSA-f82v-jwr5-mffw,GHSA-g77x-44xx-532m,GHSA-8c93-4hch-xgxp,GHSA-qpjv-v59x-3qc4,GHSA-4342-x723-ch2f,GHSA-f8mp-x433-5wpf,GHSA-xv57-4mr9-wg8v,GHSA-7gfc-8cq8-jh5f,GHSA-gp8f-8m3g-qvj9,GHSA-3h52-269p-cp9r,GHSA-g5qg-72qw-gw5v","CVE-2025-57752,CVE-2025-48068,CVE-2024-56332,CVE-2024-47831,CVE-2025-57822,CVE-2023-7080,CVE-2025-29927,CVE-2023-3348,CVE-2024-51479,CVE-2025-32421,CVE-2025-55173,CVE-2024-46982",8.5,"MODERATE,HIGH,HIGH,MODERATE,LOW,CRITICAL,LOW,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,LOW,CRITICAL,LOW,MODERATE,MODERATE,MODERATE,MODERATE,CRITICAL,MODERATE,HIGH,HIGH,MODERATE,LOW,CRITICAL,LOW,MODERATE,MODERATE,MODERATE",52
wechat-miniprogram/minigame-tuanjie-transform-sdk,50..65,65,2025-09-23T02:55:58Z,package.json,7,6,"GHSA-28xr-mwxg-3qc8,GHSA-3f95-r44v-8mrg,GHSA-67mh-4wv8-2f99,GHSA-9p95-fxvg-qgq2,GHSA-9w5j-4mwv-2wj8,GHSA-c2qf-rxjj-qqgw","CVE-2022-25912,CVE-2022-24433,CVE-2022-25860,CVE-2022-25883,CVE-2022-24066",5.3,"MODERATE,HIGH,HIGH,HIGH,CRITICAL,HIGH",0
sindresorhus/has-yarn-cli,50..65,65,2025-09-15T00:28:00Z,package.json,6,0,,,,,0
knowledgecode/jquery-param,50..65,65,2025-08-20T07:31:57Z,package.json,6,0,,,,,0
dohn-joh/heatwave,50..65,65,2025-09-20T05:15:53Z,package.json,0,0,,,,,0
cds-snc/terraform-plan,50..65,65,2025-09-02T12:22:21Z,package.json,13,1,GHSA-x77j-w7wf-fjmw,CVE-2023-2142,6.1,MODERATE,0
bluepeter/react-middle-ellipsis,50..65,65,2025-09-17T04:10:28Z,package.json,21,0,,,,,0
jonorthwash/ud-annotatrix,50..65,65,2025-09-12T13:14:00Z,package.json,59,15,"GHSA-qw6h-vgh9-j6wx,GHSA-w4m6-x6c2-j5c9,GHSA-cf4h-3jhx-xvhq,GHSA-fxwf-4rqh-v8g3,GHSA-qwcr-r2fm-qrc7,GHSA-ghr5-ch3p-vcr6,GHSA-cqmj-92xf-r6r9,GHSA-wc69-rhjr-hc9g,GHSA-25hc-qcg6-38wj,GHSA-rv95-896h-c2vc,GHSA-9wcg-jrwf-8gg7,GHSA-q3w9-g74q-vp5f,GHSA-p8p7-x288-28g6,GHSA-phwq-j96m-2c2q,GHSA-8hfj-j24r-96c4","CVE-2024-43796,CVE-2022-24785,CVE-2024-33883,CVE-2024-45590,CVE-2023-32695,CVE-2024-38355,CVE-2023-28155,CVE-2020-28481,CVE-2020-7699,CVE-2024-29041,CVE-2022-29078,CVE-2022-31129,CVE-2022-27261,CVE-2021-23358","6.1,5.0,7.5,5.3,3.3,7.3,7.5,7.5","MODERATE,MODERATE,LOW,HIGH,HIGH,MODERATE,MODERATE,CRITICAL,CRITICAL,MODERATE,MODERATE,LOW,CRITICAL,HIGH,HIGH",4
